,Ministerio,Cargo,Es_Masculino,Sueldo bruto,AFP,SFS,Sueldo neto
131,Mujer,SECRETARIA OPM SAN JUAN MAGUA,0,27000.0,774.9,820.8,25279.3
132,Mujer,SEC.I OPM HATO MAYOR,0,27000.0,774.9,820.8,24716.3
133,Mujer,SECRETARIA,0,27000.0,774.9,820.8,25379.3
134,Mujer,CONSERJE OPM LA ROMANA,0,15000.0,430.5,456.0,14088.5
135,Mujer,SECRETARIA,0,27000.0,774.9,820.8,25379.3
136,Mujer,CONSERJE,0,15000.0,430.5,456.0,12576.05
137,Mujer,SECRETARIA,0,27000.0,774.9,820.8,25379.3
138,Mujer,CONSERJE,0,17000.0,487.9,516.8,14970.3
139,Mujer,CHOFER I,0,25000.0,717.5,760.0,23497.5
140,Mujer,SEC.I OPM SAN P. MACORIS,1,27000.0,774.9,820.8,25279.3
141,Mujer,CONSERJE,0,15000.0,430.5,456.0,13988.5
142,Mujer,ABOGADO (A),0,31000.0,889.7,942.4,27630.45
143,Mujer,CONSERJE,0,15000.0,430.5,456.0,14088.5
144,Mujer,SEC.SUB-REGION NORTE,0,27000.0,774.9,820.8,23110.22
145,Mujer,SECRETARIA,0,27000.0,774.9,820.8,25279.3
146,Mujer,CONSERJE OPM JIMANI,1,15000.0,430.5,456.0,13555.5
147,Mujer,CHOFER,0,25000.0,717.5,760.0,23497.5
148,Mujer,SECRETARIA,0,27000.0,774.9,820.8,25379.3
149,Mujer,CONSERJE OPM PTO. PTA.,0,15000.0,430.5,456.0,14088.5
150,Mujer,SECRETARIA,0,27000.0,774.9,820.8,22254.4
151,Mujer,CONSERJE OPM SALCEDO,1,10000.0,287.0,304.0,9384.0
152,Mujer,VIGILANTE,0,17000.0,487.9,516.8,15970.3
153,Mujer,CONSERJE OPM COTUI,0,15000.0,430.5,456.0,14088.5
154,Mujer,SEC. OPM COTUI,0,27000.0,774.9,820.8,23866.85
155,Mujer,CONSERJE,0,15000.0,430.5,456.0,14088.5
156,Mujer,SECRETARIA,0,27000.0,774.9,820.8,25379.3
157,Mujer,CONSERJE,0,15000.0,430.5,456.0,14088.5
158,Mujer,SEC.I OPM BAHORUCO-NEYBA,1,27000.0,774.9,820.8,25379.3
159,Mujer,CHOFER,0,25000.0,717.5,760.0,23497.5
160,Mujer,SECRETARIA,0,27000.0,774.9,820.8,25279.3
161,Mujer,CONSERJE,0,15000.0,430.5,456.0,14088.5
162,Mujer,SEC. I OPM HIGUEY,0,20900.0,599.83,635.36,19639.81
163,Mujer,CONSERJE,0,15000.0,430.5,456.0,14088.5
164,Mujer,SECRETARIA,0,27000.0,774.9,820.8,25279.3
165,Mujer,CONSERJE,0,15000.0,430.5,456.0,13988.5
166,Mujer,ENC.OPM SAN CRISTOBAL,0,50000.0,1435.0,1520.0,45166.0
167,Mujer,CONSERJE,0,10000.0,287.0,304.0,9384.0
168,Mujer,SECRETARIA,0,27000.0,774.9,820.8,25279.3
169,Mujer,CONSERJE OPM BARAHONA,0,15000.0,430.5,456.0,14088.5
170,Mujer,CONSERJE,0,15000.0,430.5,456.0,14088.5
171,Mujer,SECRETARIA,0,27000.0,774.9,820.8,25379.3
172,Mujer,SEC.I OPM VALVERDE MAO,0,27000.0,774.9,820.8,25379.3
173,Mujer,CONSERJE,0,15000.0,430.5,456.0,13988.5
174,Mujer,CONSERJE,1,15000.0,430.5,456.0,13988.5
175,Mujer,CHOFER,0,25000.0,717.5,760.0,23497.5
176,Mujer,SECRETARIA,0,27000.0,774.9,820.8,25279.3
177,Mujer,CONSERJE,0,15000.0,430.5,456.0,14088.5
178,Mujer,CONSERJE,0,15000.0,430.5,456.0,14088.5
179,Mujer,SEC.I OPM MOCA-ESPAILLAT,0,27000.0,774.9,820.8,25379.3
180,Mujer,CONSERJE,0,15000.0,430.5,456.0,13655.5
181,Mujer,ABOGADO (A) OPM NAGUA,0,50000.0,1435.0,1520.0,43880.42
182,Mujer,SEC. OPM NAGUA,0,27000.0,774.9,820.8,22354.4
183,Mujer,SECRETARIA,0,27000.0,774.9,820.8,25379.3
184,Mujer,CONSERJE,0,15000.0,430.5,456.0,14088.5
185,Mujer,ENC.OPM MONTE PLATA,1,50000.0,1435.0,1520.0,44166.0
186,Mujer,CONSERJE,0,15000.0,430.5,456.0,14088.5
187,Mujer,SEC.I OPM S. FCO. MACORIS,0,20900.0,599.83,635.36,19639.81
188,Mujer,ENC. OPM SAN FCO. MACORIS,0,27000.0,774.9,820.8,24279.3
189,Mujer,SECRETARIA,0,15000.0,430.5,456.0,14088.5
190,Mujer,ABOGADO (A),1,50000.0,1435.0,1520.0,42594.83
191,Mujer,CHOFER,0,25000.0,717.5,760.0,23497.5
192,Mujer,CONSERJE,0,15000.0,430.5,456.0,14088.5
193,Mujer,SECRETARIA,0,27000.0,774.9,820.8,25379.3
194,Mujer,ENC.OPM STIGO. RGUEZ.,1,50000.0,1435.0,1520.0,45166.0
195,Mujer,CONSERJE,0,15000.0,430.5,456.0,14088.5
196,Mujer,SECRETARIA,0,27000.0,774.9,820.8,25379.3
197,Mujer,SECRETARIA I,0,27000.0,774.9,820.8,25379.3
198,Mujer,SECRETARIA,0,27000.0,774.9,820.8,25279.3
199,Mujer,CONSERJE,0,15000.0,430.5,456.0,13988.5
200,Mujer,ENC.OPM MUNIC.V. RIVAS,0,40000.0,1148.0,1216.0,34586.1
201,Mujer,CONSERJE,0,15000.0,430.5,456.0,14088.5
202,Mujer,SECRETARIA,0,27000.0,774.9,820.8,25379.3
203,Mujer,SECRETARIA I OMM SANCHEZ,0,27000.0,774.9,820.8,25379.3
204,Mujer,CONSERJE OMM SANCHEZ,0,15000.0,430.5,456.0,14088.5
205,Mujer,CONSERJE,0,15000.0,430.5,456.0,14088.5
206,Mujer,SECRETARIA,0,27000.0,774.9,820.8,25379.3
207,Mujer,CONSERJE,0,15000.0,430.5,456.0,13988.5
208,Mujer,SECRETARIA,0,27000.0,774.9,820.8,25279.3
209,Mujer,SECRETARIA,0,27000.0,774.9,820.8,25279.3
210,Mujer,CONSERJE,0,15000.0,430.5,456.0,13555.5
211,Mujer,CONSERJE,0,15000.0,430.5,456.0,13488.5
212,Mujer,SECRETARIA,0,27000.0,774.9,820.8,25279.3
213,Mujer,SECRETARIA OPM MUN. CEVICOS,0,27000.0,774.9,820.8,25379.3
214,Mujer,CONSERJE,1,15000.0,430.5,456.0,13988.5
215,Mujer,AYUDANTE MANTENIMIENTO,0,15000.0,430.5,456.0,14088.5
216,Mujer,ASISTENTE VICEMINISTRO,0,50000.0,1435.0,1520.0,45166.0
217,Mujer,CONSERJE,0,15000.0,430.5,456.0,12576.05
218,Mujer,CONSERJE,0,15000.0,430.5,456.0,14088.5
219,Mujer,SEC.I OMM JIMA-LA VEGA,0,27000.0,774.9,820.8,25379.3
220,Mujer,SECRETARIA,0,27000.0,774.9,820.8,25379.3
221,Mujer,CONSERJE OMM JARABACOA,0,15000.0,430.5,456.0,14088.5
222,Mujer,CONSERJE,0,15000.0,430.5,456.0,14088.5
223,Mujer,SECRETARIA,0,27000.0,774.9,820.8,25379.3
224,Mujer,SECRETARIA,0,27000.0,774.9,820.8,25379.3
225,Mujer,CONSERJE,0,15000.0,430.5,456.0,14088.5
226,Mujer,CONSERJE,0,15000.0,430.5,456.0,14088.5
227,Mujer,SECRETARIA,0,27000.0,774.9,820.8,25279.3
228,Mujer,CONSERJE OMM S.J.MATAS,0,15000.0,430.5,456.0,14088.5
229,Mujer,CONSERJE,0,15000.0,430.5,456.0,13988.5
230,Mujer,SEC.I OMM TAMBORIL,0,20900.0,599.83,635.36,16614.91
231,Mujer,SECRETARIA,0,27000.0,774.9,820.8,25379.3
232,Mujer,ENC.OMM IMBERT,0,40000.0,1148.0,1216.0,37168.35
233,Mujer,CONSERJE OPM IMBERT,1,15000.0,430.5,456.0,14088.5
234,Mujer,VIGILANTE,1,17000.0,487.9,516.8,15970.3
235,Mujer,SECRETARIA,0,27000.0,774.9,820.8,25279.3
236,Mujer,SECRETARIA,0,27000.0,774.9,820.8,21379.3
237,Mujer,CONSERJE,0,15000.0,430.5,456.0,14088.5
238,Mujer,CONSERJE,0,15000.0,430.5,456.0,12088.5
239,Mujer,SEC.I OMM NAVARRETE,0,27000.0,774.9,820.8,25379.3
240,Mujer,SECRETARIA,0,20900.0,599.83,635.36,19639.81
241,Mujer,CONSERJE OMM CASTILLO,1,10000.0,287.0,304.0,9384.0
242,Mujer,AUXILIAR PROTOCOLO,1,36500.0,1047.55,1109.6,34217.85
243,Mujer,AUXILIAR,0,36000.0,1033.2,1094.4,33247.4
244,Mujer,AUXILIAR,0,31500.0,904.05,957.6,28613.35
245,Mujer,AUXILIAR,1,36000.0,1033.2,1094.4,33747.4
246,Mujer,AUXILIAR BIBLIOTECA,0,27000.0,774.9,820.8,25379.3
247,Mujer,MAESTRO CEREMONIA,0,35000.0,1004.5,1064.0,27822.46
248,Mujer,SECRETARIA,0,25200.0,723.24,766.08,23685.68
249,Mujer,COORDINADOR (A),0,35000.0,1004.5,1064.0,32806.5
250,Mujer,PERIODISTA,0,50000.0,1435.0,1520.0,33931.46
251,Mujer,CAMAROGRAFO,1,42000.0,1205.4,1276.8,31667.88
252,Mujer,AUXILIAR,0,27000.0,774.9,820.8,24279.3
253,Mujer,AUXILIAR DE DOCUMENTACION,1,31500.0,904.05,957.6,28850.35
254,Mujer,AUXILIAR ARCHIVO Y CORRESPOND,0,27000.0,774.9,820.8,23766.85
255,Mujer,PSICOLOGA II,0,50000.0,1435.0,1520.0,45166.0
256,Mujer,SECRETARIA EJECUTIVA,0,36000.0,1033.2,1094.4,32972.4
257,Mujer,SECRETARIA,0,36500.0,1047.55,1109.6,32692.85
258,Mujer,TECNICO PROYECTOS,0,60000.0,1722.0,1824.0,51632.36
259,Mujer,ENCARGADO (A),0,115000.0,3300.5,3496.0,90944.76
260,Mujer,AUXILIAR,0,27000.0,774.9,820.8,25279.3
261,Mujer,TECNICA EN SALUD,0,42000.0,1205.4,1276.8,35264.26
262,Mujer,SECRETARIA EJECUTIVA,0,36500.0,1047.55,1109.6,31292.95
263,Mujer,CONSERJE,0,15000.0,430.5,456.0,14088.5
264,Mujer,CONSERJE,0,15000.0,430.5,456.0,14088.5
265,Mujer,VICEMINISTRO (A) TECNICO (A),0,230000.0,6601.0,4943.8,174099.19
266,Mujer,DIRECTORA EDUCACION,0,155000.0,4448.5,4712.0,120771.76
267,Mujer,CONSERJE,0,15000.0,430.5,456.0,14088.5
268,Mujer,SECRETARIA,0,27000.0,774.9,820.8,25279.3
269,Mujer,SECRETARIA,0,31500.0,904.05,957.6,29513.35
270,Mujer,RECEPCIONISTA,0,27000.0,774.9,820.8,22766.85
271,Mujer,VIGILANTE,1,15400.0,441.98,468.16,14464.86
272,Mujer,ASISTENTE,0,50000.0,1435.0,1520.0,45166.0
273,Mujer,CHOFER,0,25000.0,717.5,760.0,29613.35
274,Mujer,SECRETARIA SEM,0,33000.0,947.1,1003.2,45166.0
275,Mujer,SECRETARIA,0,27000.0,774.9,820.8,24846.3
276,Mujer,SECRETARIA,0,31500.0,904.05,957.6,167991.58
277,Mujer,PSICOLOGA DPTO.NO VIOLENCIA,0,50000.0,1435.0,1520.0,175233.53
278,Mujer,SECRETARIA,0,27000.0,774.9,820.8,33275.85
279,Mujer,VICE MINISTRO (A) DE LA MUJER,0,230000.0,6601.0,4943.8,38613.0
280,Mujer,VICE MINISTRO (A) DE LA MUJER,0,230000.0,6601.0,4943.8,34317.85
281,Mujer,FACILITADOR,0,37000.0,1061.9,1124.8,23397.5
282,Mujer,ASISTENTE VICEMINISTRO,0,50000.0,1435.0,1520.0,43780.42
283,Mujer,SECRETARIA,0,36500.0,1047.55,1109.6,45166.0
284,Mujer,CHOFER,0,25000.0,717.5,760.0,45166.0
285,Mujer,ABOGADO (A),0,50000.0,1435.0,1520.0,43566.0
286,Mujer,ABOGADO (A),1,50000.0,1435.0,1520.0,22254.4
287,Mujer,ABOGADO (A),0,50000.0,1435.0,1520.0,36825.53
288,Mujer,ABOGADO (A),0,50000.0,1435.0,1520.0,36292.53
289,Mujer,SECRETARIA,0,27000.0,774.9,820.8,45166.0
290,Mujer,PSICOLOGA II,0,39571.35,1135.7,1202.97,29142.9
291,Mujer,PSICOLOGA OPM S.P.M.,0,39571.35,1135.7,1202.97,45166.0
292,Mujer,PSICOLOGO (A) OPM LA VEGA,0,50000.0,1435.0,1520.0,43880.42
293,Mujer,SEC.I OPM ELIAS PIÑA,0,31000.0,889.7,942.4,26689.55
294,Mujer,ABOGADO (A) I,0,50000.0,1435.0,1520.0,45166.0
295,Mujer,PSICOLOGO (A),0,50000.0,1435.0,1520.0,43840.0
296,Mujer,SECRETARIA,0,30000.0,861.0,912.0,42594.83
297,Mujer,PSICOLOGA II,0,50000.0,1435.0,1520.0,43066.0
298,Mujer,ABOGADA OPM SFC.MACORIZ,0,50000.0,1435.0,1520.0,43880.42
299,Mujer,PSICOLOGA I OPM MOCA-ESPAILLA,0,50000.0,1435.0,1520.0,45166.0
300,Mujer,ABOGADA I OPM COTUI,0,50000.0,1435.0,1520.0,45166.0
301,Mujer,ABOGADA I OPM V. MAO,0,50000.0,1435.0,1520.0,43880.42
302,Mujer,PSICOLOGA OPM BANI,0,50000.0,1435.0,1520.0,45166.0
303,Mujer,ABOGADA I OPM STGO.RGUEZ.,0,50000.0,1435.0,1520.0,43880.42
304,Mujer,PSICOLOGA OPM SAN CRISTOBAL,0,50000.0,1435.0,1520.0,44733.0
305,Mujer,PSICOLOGA I DAJABON,0,50000.0,1435.0,1520.0,45166.0
306,Mujer,ABOGADA I OPM AZUA,0,50000.0,1435.0,1520.0,43880.42
307,Mujer,PSICOLOGA I OPM JIMANI,0,50000.0,1435.0,1520.0,43870.0
308,Mujer,PSICOLOGA OPM HATO MAYOR,0,50000.0,1435.0,1520.0,45166.0
309,Mujer,ABOGADA I OPM BONAO-MOS.NOUEL,0,50000.0,1435.0,1520.0,45166.0
310,Mujer,ABOGADA I OPM PEDERNALES,0,50000.0,1435.0,1520.0,36825.53
311,Mujer,ABOGADA I OPM BANI,0,50000.0,1435.0,1520.0,39932.63
312,Mujer,PSICOLOGA I OPM LA ROMANA,0,50000.0,1435.0,1520.0,44031.46
313,Mujer,PSICOLOGA II,0,39571.35,1135.7,1202.97,45166.0
314,Mujer,TECNICO,0,45000.0,1291.5,1368.0,45166.0
315,Mujer,TECNICO DIR. EDUCACION,0,50000.0,1435.0,1520.0,58049.6
316,Mujer,PSICOLOGA II,0,50000.0,1435.0,1520.0,43880.42
317,Mujer,ABOGADO (A),0,50000.0,1435.0,1520.0,25279.3
318,Mujer,PSICOLOGA II,0,70000.0,2009.0,2128.0,34182.78
319,Mujer,ABOGADO (A),0,50000.0,1435.0,1520.0,23497.5
320,Mujer,RECEPCIONISTA,0,27000.0,774.9,820.8,25279.3
321,Mujer,PSICOLOGO (A),0,39571.35,1135.7,1202.97,23397.5
322,Mujer,CHOFER,1,25000.0,717.5,760.0,29412.25
323,Mujer,RECEPCIONISTA,0,27000.0,774.9,820.8,25279.3
324,Mujer,ANALISTA CAPACITACION,0,31500.0,904.05,957.6,25731.82
325,Mujer,TECNICO,0,42000.0,1205.4,1276.8,38767.88
326,Mujer,CHOFER I,0,25000.0,717.5,760.0,23397.5
327,Mujer,FACILITADOR,1,37000.0,1061.9,1124.8,34669.05
328,Mujer,PSICOLOGO (A),0,50000.0,1435.0,1520.0,44066.0
329,Mujer,RECEPCIONISTA,0,27000.0,774.9,820.8,25279.3
0,Hacienda,Ministro de Hacienda,1,300000.0,8610.0,4943.8,226226.78
1,Hacienda,Subdirector,0,125000.0,3587.5,3800.0,98176.43
2,Hacienda,Encargado Departamento,1,120000.0,3444.0,3648.0,81109.74
3,Hacienda,Encargado División,1,99000.0,2841.3,3009.6,81253.96
4,Hacienda,Asesor,0,170500.0,4893.35,4943.8,129204.26
5,Hacienda,Asesor,0,125000.0,3587.5,3800.0,97621.51
6,Hacienda,Asesor,1,250000.0,7175.0,4943.8,189803.03
7,Hacienda,Asesor,1,245000.0,7031.5,4943.8,186160.66
8,Hacienda,Coordinador Administrativo,1,65000.0,1865.5,1976.0,56705.92
9,Hacienda,Coordinador Administrativo,0,65000.0,1865.5,1976.0,38717.35
10,Hacienda,Coordinador Administrativo,1,65000.0,1865.5,1976.0,42929.11
11,Hacienda,Coordinador Administrativo,1,65000.0,1865.5,1976.0,49787.07
12,Hacienda,Coordinador de Proyectos,1,150000.0,4305.0,4560.0,117243.38
13,Hacienda,Coordinador Mesa de Entrada,0,35000.0,1004.5,1064.0,26024.11
14,Hacienda,Coordinador Técnico Administrativo,0,95000.0,2726.5,2888.0,78107.94
15,Hacienda,Abogado I,0,45000.0,1291.5,1368.0,41024.98
16,Hacienda,Contador,1,118000.0,3386.6,3587.2,93481.78
17,Hacienda,Técnico Administrativo,0,35000.0,1004.5,1064.0,28499.66
18,Hacienda,Técnico Administrativo,0,40000.0,1148.0,1216.0,33369.45
19,Hacienda,Técnico Administrativo,1,45000.0,1291.5,1368.0,38129.83
20,Hacienda,Conserje,0,22000.0,631.4,668.8,16866.29
21,Hacienda,Subdirector,1,145000.0,4161.5,4408.0,112706.29
